,Tweet
74,"#didyouknow public speaking skills make you a better leader, according to a study from @UBuffalo which found that strong #communication skills predict who will become a leader on their team.
https://t.co/zwErm3OzLk https://t.co/DgDLQzjkgi"
75,"Tomorrow is a GSPHA #BlackHistoryMonth “voices for diversity” talk by Aza Allsop, MD, PhD! @DR_tr3, a @YaleMed psychiatry expert, will discuss the mental health revolution &amp; reimagining culture. Moderator is #UBuffalo’s Adetayo Oladele-Ajose. Zoom at 7:00: https://t.co/uZIWmjb8h9 https://t.co/kCvY1PSUso"
76,"@Lollardfish @UBuffalo @UB_History @UMDHistory 2/ what’s amazing about this letter (aside from its grossness) is that it’s a primary document, a secondary one, and a sort of meta-statement about the kind of shit that still happens, but not on official department letterhead."
77,"📺Tune in tonight to see your fellow Dustdevils compete in Call of Duty: Vanguard NACE Starleague.

 8:00pm CST TAMIU Dustdevils CoD JV vs UBuffalo CoD

9:00pm CST TAMIU Dustdevils CoD Varsity vs Neumont eSports Gray"
78,@gregmichaelidis @Lollardfish @UBuffalo @UB_History @UMDHistory @libankerDC @glgerstle @LilyMasonPhD wow
79,LISTEN 7:42am: Did you know there's a new strain of #COVID19 in WNY? @UBuffalo Senior Associate Dean for Health Policy Dr. Nancy Nielsen talks with @WBFO Morning Host Jay Moran. https://t.co/44mew90K7z
80,@Rio_Heriniaina @S_poindexterus @DominiqueRaboin @UBuffalo Good to see you here😋
81,"Do you have the next big idea? Sign up for the 2022 Panasci competition to pitch your product, service or scalable social innovation! 

Apply by March 4 for your shot at more than $52,000 in seed money and in-kind services: https://t.co/4XYIoGLuwf 

#UBMgt #UBuffalo https://t.co/D9kuYclErh"
82,"Job opportunity: @UBuffalo seeking a Senior Director of Issues Management and Internal Communications #higheredjobs
https://t.co/T3oKlCrsZg"
83,"After evaluating 57 nursing schools in #NewYork, we have #ranked @UBNursing as no.#1 for offering the Best RN to BSN Program in the state for 2022. @UBuffalo scored 98.31% in our ranking methodology that gauges Academic Quality, Affordability, &amp; more!
👏
https://t.co/WrKUhWIzdE https://t.co/QjyG58N3WM"
84,"The submission DEADLINE for Baird Point Film Festival is this Sunday, Feb 27! 🎥 

Wrap up your film and submit it, following the submission guidelines on UBLinked 🎬  The entire #UBuffalo community is invited to the festival on March 30 at 7pm. RSVP: https://t.co/avJOX3rHE0 https://t.co/LnSKX1yGls"
85,"It’s Touring Thursday!! Stop by One World Cafe at 2pm for a tour of the new space! 
@UBStudentExp @ubalumni
#UBuffalo #UBStudentExperience https://t.co/yDVjSoyuPL"
86,"It’s Touring Thursday!! Stop by One World Cafe at 2pm for a tour of the new space! 
@ub_marketing
@ub_sa
#UBuffalo #UBStudentExperience https://t.co/nKvAt0cguP"
87,"As the #COVID19 pandemic maintains its grip on the world, #UBuffalo physicians at @Jacobs_Med_UB continue to step up to help Western New York. See the many ways our experts do whatever it takes to provide the utmost care for the community: https://t.co/AeYXzrfZiQ https://t.co/l6QzJ5os42"
88,@UBuffalo @slipperyrocku @buffalostate @sunyesf @SUNYGeneseo @CLE_State @cwru @JohnCarrollU @BaldwinWallace @GannonU
89,"🎉Continuing our celebrations during Engineers Week, we're shining the spotlight on one of our incredible district team members. Meet Civil Engineer, Madeleine Dewey.

#EWeek2022 #USACE #Buffalo #WhatEngineersDo #CivilEngineer 

@UBuffalo @NotreDameofMD https://t.co/4cYonMCK9i"
90,"Researchers at @UBuffalo and @UCLA reveal for the first time that behavioral self-management of irritable bowel syndrome (IBS), a painful and common gastrointestinal disorder, can fundamentally change the gut microbiome.

Learn more ➡️ https://t.co/KT3Iz0809F https://t.co/nxuixb5Idq"
91,"(5/n)⚡ Spatial Lightning Talks⚡ featuring (in no particular order): @Yingjie_Hu of @UBuffalo Dept. of Geography:

""How much does a neighborhood drink: Human-place interaction and alcohol-related outcomes""

https://t.co/cqhYeJN6fu"
92,LFG https://t.co/2aQheUzIlg
93,cc: @SUNY_Esports https://t.co/IHFElcSpNu
94,"At #UBuffalo, we are spirited 🤘🏼 connected 💙 inspired and unstoppable 💪🏽 We are #UBTrueBlue. See what True Blue is all about 🔽
 https://t.co/ewFNjTqhCB"
95,"Game on! 🎮 Here's your sneak peek 👀 into the NEW LevelUp computing space in Lockwood Library at #UBuffalo! This space, complete with computers for work and play + the latest gaming consoles, is slated to open in March! @ubinfotech https://t.co/F75ccUN43s"
96,"With more scientists working on ways to eliminate/remove/break down #PFAS #foreverchemicals, there may still be hope for a future! These researchers are working w/detection methods, bacteria &amp; bioreactors; or microbes &amp; nanotechnology. @UBuffalo @renew_ub 
https://t.co/ET4gawsPcJ"
97,UB Alert: #UBuffalo following regular academic/operations schedule for 2/24 and 2/25 and monitoring weather. Updates at https://t.co/YMoHiNaCfm. #UBAlert
98,"NEW: Soil contamination near Tonawanda Coke most likely comes from the now-shuttered plant, a just-released @UBuffalo study has found. Full story at the link. #Buffalo #WNY #Niagara 
https://t.co/t7CSNQY7y6"
99,"Chemical Engineers Addressing Climate Change
https://t.co/PW5A1ZRkPb
#UBCBE #UBSEAS #UBuffalo"
100,"CBE mentored PhD students Chih-Han Liu, Bita Nasiri, and Mahasweta Bhattacharya are Finalists for UB's 3 Minute Thesis Competition on March 4 https://t.co/IaYfnOvGnw
#UBCBE #UBSEAS #UBuffalo https://t.co/PGXfR9Jwzw"
101,"Bring your laptop, grab a friend and join our career experts in creating or updating your resume and online profiles every Wednesday from 12 p.m. to 1 p.m. in 259 Capen Hall. Preregistration is required for this Wed. workshop. More info ➡️ https://t.co/a7fwHMeax2 #UBuffalo https://t.co/B18yHDdLDw"
102,"Have an idea worth $52,000? Compete in this year’s #UBuffalo Panasci Technology Entrepreneurship Competition! Any stage of a concept is welcome! Ideation, prototype or more established innovations!  #UBHonors https://t.co/Rfxsa44FxJ"
103,"It’s a crucial part of our @Jacobs_Med_UB mission to seek novel solutions to the most critical #PublicHealth issues, including providing up-to-date information and guidance regarding #COVID19 treatments and vaccines. #UBuffalo https://t.co/ZgQmrrrFOg"
104,"A safe space to learn about sexual and reproductive health: https://t.co/w4mKOV6BX7 @ubuntu4change @UTEP @PopFoundIndia  @AIforGoodUK  &lt;""AI can be leveraged in ways that facilitate social and behavior change"" #UBuffalo #AI #SexualHealth https://t.co/SnH0b0qnqx"
105,@dysclinic @UBuffalo @ubinfotech That's debatable. Video games game improve mental health. Theres always been a stigma around video games. They increase reaction skills and awareness. I'd argue they are good for the brain. I'm sure there are papers to support both sides of this debate
106,"Go @UBSwimDiveTeam! We are rooting for you! 💪📣
#UBhornsUP 
#UBuffalo https://t.co/rndRj7lhUO"
107,@Mel_Orlins @news4buffalo @UBuffalo Oh man Mel. Prayers up for your sister. 5.00 gas and her $1000/sf house. 🙏 🤲
108,@beach4menj @Mel_Orlins @UBuffalo @news4buffalo How about opening the Keystone pipeline? Would that help? Why rely on foreign supply?
109,"We're #UBTrueBlue! 💙 Visit the stories section to be inspired by a tenacious group of first-generation management students—and to learn how one grad is helping set the standard. 

#UBMgt #UBuffalo https://t.co/KZ4BGLeMsk"
110,"If you want to be seen as a leader, work on your public speaking skills — according to new #UBMgt research.

https://t.co/AAgFK6GtTF

#UBuffalo #Leadership #Communication"
111,"Soil contamination in some areas near Tonawanda Coke most likely comes from the now-closed plant, @UBuffalo researchers have determined. Full story here: #Buffalo #WNY #Niagara 
https://t.co/t7CSNQY7y6"
112,Nice! Looks like the Bulls are upping their game this semester. #SUNYEsports https://t.co/7RMXft5UqY
113,"We are collaborating with @du1869 @UBuffalo @STEMNOLA &amp; @ArtSpotPro on EASEL, a community participatory art/science/education research project seeking participants currently living in the 70126, 70127, and 70128 zip codes. Get involved here: https://t.co/Ay8gqYyg5u https://t.co/EgnJW0rXK4"
114,"UB Law hit the court Wed. night to cheer the UB Bulls women’s basketball team on to victory! LtoR: Elissa Gunasingh &amp; Daniel Ortega of the Dean’s Office, Prof. @kimdianaconnoll, Prof. Ali Harrington, Dean Aviva Abramovsky &amp; Prof. @heather_sol_a. #UBuffalo #UBTrueBlue #UBHornsUp https://t.co/T2HpHGJHVt"
115,"Bring your #UBTrueBlue spirit next Tuesday, 3/1 when we BLUE OUT Alumni Arena and prepare for #MACtion! 🤘💙🏀 Let's go #UBuffalo!

⏰: 7:00 pm 
📍: Alumni Arena
🆚: Toledo
Learn more about True Blue! ▶️ https://t.co/MCn0bqf4VE https://t.co/vcNpvP6mM1"
116,"#UBuffalo is pleased to announce that it was able to successfully send a small group of undergraduate and graduate students abroad for the Spring 2022 semester. ✈️ #UBabroad 

Read the full update on our COVID-19 Updates for Study Abroad webpage: https://t.co/w5Nwy6p0Of. https://t.co/1p5U3rMzI9"
117,"The “Frank J. Cipolla Marching Band” collection finding aid is now available! The majority of the material is dated 1961-1970 during Frank’s time as director of the #UBuffalo Marching Band. #UBTrueBlue 

➡️ https://t.co/O4yTSBheD3 https://t.co/iaE0x6klS4"
118,Happy 2/22/2022! Take some time on this Twosday to watch Episode 2 of True Blue! 💙🤘 #UBTrueBlue #UBuffalo https://t.co/eA3SdXMbv1 https://t.co/20UthMOnQz
119,"This #UBuffalo grad is paving the way, and breaking barriers for women and girls in engineering. Find out how. https://t.co/2oaFHcxyLb https://t.co/rb9yIK5aA6"
120,"""Wherever we go in the cannabis industry, we are there to make a positive impact on our community."" See how this #UBuffalo grad is easing people's pain. #UBuffalo #UBTrueBlue https://t.co/29CCDJQxoo"
121,This game is also @UBCheer @UBDazzlers and @UBMarchingBand senior recognition night! Show up and show out!💙🤘🏼 https://t.co/yxfJk6STj9
122,CO 2018 alum Armanis Constanzo still Perfecting the grind while finishing up his degree @UBuffalo… https://t.co/Q8aLxpOW8d
123,"Tomorrow: #UBGSE's Black History Nerds Saturday School features ""The Hill Project: A Black Studies Curriculum"" with Dr. Gholdy Muhammad from University of Illinois at Chicago.

Save your spot: https://t.co/CEp7o638Xf

#BlackHistoryMonth #UBuffalo @DrLaGarrettKing https://t.co/1W4QBHNgti"
124,"Ya'll #GSEGrad sent me a little package with a tea cup, bag, pen, bookmarks and stress ball.
I haven't even started yet.

What a Welcome! #UBuffalo https://t.co/fTg3el2igE"
125,"Tomorrow: #UBGSE's Black History Nerds Saturday School features ""The Hill Project: A Black Studies Curriculum"" with Dr. Gholdy Muhammad from University of Illinois at Chicago.

Save your spot: https://t.co/tXJykoepLo

#BlackHistoryMonth #UBuffalo @DrLaGarrettKing https://t.co/wCN7FR6pIg"
126,"We interrupt this rainy day to remind you of how pretty #UBuffalo looks after it rains! 🌈 ☀️ As you think ahead to the warmer months, remember to make your deposit by May 1. https://t.co/t6BzWwvL6t https://t.co/QPfze56Rh6"
127,Interested in gaming? Check out this new space on #UBuffalo's North Campus! https://t.co/drGPcgz5KT
128,Spotted at ⁦@UBuffalo⁩ North campus. ⁦@starbucksunion⁩ https://t.co/ZdkwP3znvN
129,"UB is leading the way again, and this time it is to help crack the glass ceiling in STEM fields. Glad I could share this story of rebellious determination and success, but hopeful that we really can balance those scales.  #ubuffalo #boldlybuffalo https://t.co/fiQcDx8Llv"
130,"Reviews by @Jacobs_Med_UB  students @k___powers and Trinithas Boyi: worth a read!
#womeninoto #otolaryngology #ubuffalo https://t.co/d7cYxspOsa"
131,"Recognizing our residents for their contribution to patient care, education and research at #ubuffalo #otolaryngology.
Thank you team!
#ThankAResidentDay https://t.co/gQf2dvsGCa"
