,Tweet,Hashtag
390,"Paresh Dandona, MD, PhD, #UBuffalo expert on #endocrinology, has led a study showing that bariatric surgery not only treats #obesity and reverses #Type2Diabetes, it also reverses low testosterone levels in severely obese male teens. 
Read on: https://t.co/AtPDCPsngI https://t.co/uGxwbmukq8",ubuffalo endocrinology obesity type2diabetes
391,"To spread educational &amp; empowering messages, #UBuffalo medical students in the Dermatology Interest Group recently organized an event for chronically homeless women &amp; spearheaded a donation of skincare products at a domestic violence shelter. Learn more: https://t.co/1GtQCnXsqx https://t.co/FyBTSzd6sL",ubuffalo
392,"New medical curriculum with anti-racism at its core is being designed &amp; implemented at @Jacobs_Med_UB. Read all about it: https://t.co/Lh9Izaz5HZ 
Or check out Rod Watson’s piece in @TheBuffaloNews on #UBuffalo’s diversity &amp; inclusion efforts in medicine: https://t.co/5KwQ3V9cq6 https://t.co/OlnfmfHdRj",ubuffalo
393,Looking for a group of like-minded people working to educate and collaborate about women in STEM? Find out more about the great work of the Women in STEM Cooperative #UBuffalo #InternationalWomensDay https://t.co/KRhOdK6FNj https://t.co/JN8dI3doTe,ubuffalo internationalwomensday
394,@ubalumni @UBwomenshoops Never too late #UBuffalo 🤘🏼,ubuffalo
395,The Breakfast Club is ready and fueled for game day! 💙🥯🤘#UBuffalo https://t.co/A5Mn1MgRw9,ubuffalo
396,LET’S GO #UBuffalo! 🤘🏻🤘🏿🤘🏽 https://t.co/Zy7s109ppw,ubuffalo
397,‼️Those #UBTrueBlue vibes are going STRONG #UBuffalo! ‼️ https://t.co/W310GEIPGU,ubtrueblue ubuffalo
398,"Happy #PiDay, #UBuffalo! This mathematical constant is all around (😉) us, from your homework to your favorite foods and activities! 🥧📓 🍕 https://t.co/Vs2bshi2DT",piday ubuffalo
399,"Celebrating #InternationalWomensDay
with this photo from the #UBuffalo 1923 Iris Yearbook!
Lillias MacDonald, was appointed Dean of Women in 1922. She was UB's first female dean at a time when approximately 200 women attended UB. #100years
https://t.co/enEWsq5iV0 https://t.co/TVsMnCtK2Y",internationalwomensday ubuffalo 100years
400,"Join us next week as we discuss how to advance diversity, equity, inclusion and justice at #UBuffalo in a series of town halls, presented by the President's Advisory Council on Race! For dates, times and to submit questions 🔽 https://t.co/aNpstvZAIb",ubuffalo
401,"֍ ZODIAQUE DANCE COMPANY &amp; “KISSED THE GIRLS AND MADE THEM CRY” each open in only THREE days! ֍ Here’s a sneak preview of ZDC! 
Get tickets now! https://t.co/8wWXzwYKig «
֍ Season sponsors include Fox Run at Orchard Park &amp; Lake Shore Savings Bank.֍
#ubuffalo #ubcas #ubthd #ubcfa https://t.co/4YMdTIqpNS",ubuffalo ubcas ubthd ubcfa
402,"֍ ZODIAQUE DANCE COMPANY &amp; “KISSED THE GIRLS AND MADE THEM CRY” each open in only TWO days! ֍ Here’s another ZDC sneak preview! 
Get tickets now! https://t.co/6jzZoARrAo 
֍ Season sponsors include Fox Run at Orchard Park &amp; Lake Shore Savings Bank.֍
#ubuffalo #ubcas #ubthd #ubcfa https://t.co/DCUzLkTCOS",ubuffalo ubcas ubthd ubcfa
403,֍ The Student Directed Series production of “KISSED THE GIRLS AND MADE THEM CRY” opens tomorrow for 2 performances at UB Katharine Cornell Theatre! ֍ Content Warning: This show contains language addressing sexual violence. Tickets: https://t.co/8wWXzxgl9O #ubuffalo #ubcas #ubthd https://t.co/JObCr7MY7Y,ubuffalo ubcas ubthd
404,"֍ Today’s feature story on UB NOW is about our opening weekend of spring 2022 productions: Zodiaque Dance Company and “Kissed the Girls and Made Them Cry.” Both shows open TONIGHT! ֍
https://t.co/WPuSZFenZ7
Get tickets now! https://t.co/8wWXzwYKig ««««
#UBuffalo #ubcas #ubthd https://t.co/BjNQXTbdjn",ubuffalo ubcas ubthd
405,"Congratulations to Kaylie Horowitz, UBIT student assistant and winner of the 2021 UBIT Innovative Technologies Grant! 🥳The award will fund tech to help create her @UBTheatreDance master's thesis.

Here she is celebrating with #UBuffalo VPCIO Brice Bible. #UBTrueBlue https://t.co/VKoO1hd5aT",ubuffalo ubtrueblue
406,"This #WomensHistoryMonth, we share Maya Angelou's words hanging #UBuffalo's Student Union: ""My mission in life is not merely to survive, but to thrive; and to do so with some passion, some compassion, some humor, and some style.""

👏👏 for our bright, thriving #UBGSE students! https://t.co/8iZIvU4X0e",womenshistorymonth ubuffalo ubgse
407,"Happy Monday GSE community! My name is Ema and I am a student in #UBGSE's higher education and student affairs program. I am taking over GSE's Instagram today. Follow along to see a day in my life as a student academic advisor. See you on IG (handle: UBGSE)! 

#UBuffalo https://t.co/pl0xsDoC1P",ubgse ubuffalo
408,"Did you know that LevelUp in Lockwood has more than games? 🎮🤔(By the way, the gaming spaces open Mon 3/14!)

It's a complete computing site where #UBuffalo students can find iMacs and PCs 🖥, printing kiosks 🖨, charging spots for your phone ⚡️and more!

https://t.co/rEZSMOPFlz https://t.co/NBuPc8NHjU",ubuffalo
409,#UBuffalo's Baird Point looks good at every angle. 💙🤘 #UBGSE https://t.co/kAs936FQFL,ubuffalo ubgse
410,"What do parents, educators and mental health professionals need to know about cyberbullying? Stephanie Fredrick, #UBGSE assistant professor and associate director of the Alberti Center for Bullying Abuse Prevention, breaks down the details. #UBuffalo

 https://t.co/SPfHROjTA9",ubgse ubuffalo
411,"Gather your friends and game on! 💙🤘The console gaming lounge at LevelUp is OPEN NOW!
- 📺Big screens
- 🎮Latest consoles (PS5, Xbox and Switch)
- 👾Library of preloaded games

#UBuffalo students can reserve a pod today at https://t.co/m1FlrGftRf https://t.co/U950lh2IP8",ubuffalo
412,What a game! Can’t wait to watch our @UBWomenshoops team play in tomorrow’s MAC Championship game! Go Bulls!! #UBhornsUP #UBuffalo https://t.co/MZq0ws9Bc2,ubhornsup ubuffalo
413,🤘🤘 Saturday can’t get here fast enough!! Go Bulls!! #UBhornsUP #UBuffalo #UBDancing https://t.co/MZerlu6oL7,ubhornsup ubuffalo ubdancing
414,"Provost A. Scott Weber and the President’s Advisory Council on Race Implementation Committee (PACOR) invite the #UBPSS and all members of the #UBuffalo community to 3 virtual town halls to discuss advancing diversity, equity, inclusion and justice at UB. 
https://t.co/1F6wdd5euk https://t.co/KvTlxjGe1l",ubpss ubuffalo
415,"Check out this write up on Prof. @CaroleEmberton's new book, To Walk About in Freedom: The Long Emancipation of Pricilla Joyner! 
https://t.co/9VhoMHeJ5t #UBuffalo",ubuffalo
416,"Join us in person or online on March 11th at 3 PM for a New Book 🎉Celebration 🎉 in honor of Prof. @dhbuffalo and his new book, White Market Drugs! More info and registration: https://t.co/hWRgwnzNbT #UBuffalo https://t.co/FMs44fIQ4S",ubuffalo
417,"TODAY!
Join us in person or online on March 11th at 3 PM for a New Book 🎉Celebration 🎉 in honor of Prof. @dhbuffalo and his new book, White Market Drugs! More info and registration: https://t.co/hWRgwnickl #UBuffalo https://t.co/3RkIBUAJVP",ubuffalo
418,"📣Upcoming Event: Join us on April 1st at 3 PM in person or online for Dr. Jay Smith's talk, ""The Amateurism Myth and the Impossibility of College Sports Reform."" Registration: https://t.co/hWRgwnickl #UBuffalo @UNC https://t.co/DJAbh6nKiT",ubuffalo
419,Start a mentored project to build skills and career experience! Check out @UBuffaloELN’s Project Portal to see your options: https://t.co/lpXp0jm3WD.  #UBuffalo https://t.co/Njxzc9FVUr,ubuffalo
420,"Feeling that midterm stress? 😬

Check out these resources for #UBuffalo students, including apps to help with mindfulness and breathing.  You've got this! 🤘😎 

https://t.co/AsNMMnrvNW https://t.co/kRoIjsO6lz",ubuffalo
421,Where’s the Bus? Visit https://t.co/JySnxzyhLu to find the #UBuffalo Stampede or shuttles in real time.,ubuffalo
422,"In keeping with state and federal regulations, masks will continue to be mandatory for everyone aboard #UBuffalo Stampede buses &amp; shuttles through at least April 18th. 🚌😷
https://t.co/LuVSsSS7It",ubuffalo
423,"Do you have a friend who just oozes honesty? Do you know a faculty/staff member who does what's right when nobody's watching? How about an academic department? 

Nominations for the Academic Integrity Awards are being accepted through March 31. https://t.co/YZ9gvHUqzS #UBuffalo",ubuffalo
424,"Our crew is ready to Unplug &amp; Play with you tonight at Alumni Arena from 5pm-8pm!

As always, FREE popcorn, life-sized games, music, coloring tables and 20% OFF for @ubuffalo students at the the Bulls Team Shop 🤘 #ubuffalo #ubhornsup https://t.co/3J2WxzRcZs",ubuffalo ubhornsup
425,#ubuffalo,ubuffalo
426,⏰ How are you feeling this morning? #DaylightSavingTime #ubuffalo,daylightsavingtime ubuffalo
427,All of #UBuffalo watching @UBwomenshoops right now: https://t.co/t4lpSKhIVR,ubuffalo
428,"Your health matters. It's the last week to tell us what you think via the National College Health Assessment survey. Check your #UBuffalo email (and your spam folder) for the invite!

When you complete the survey, you'll be entered to win Campus Cash! https://t.co/Cemp0uu9pq https://t.co/xbmidml3Oo",ubuffalo
429,"LEAD UB is an annual conference developed by and for students. This year, March 28-31, will feature both virtual and hands-on learning with a different topic each day: Leadership, Advocacy, Engagement and Development. Register by 3/25: https://t.co/BfPfsc8cTO #UBuffalo https://t.co/tda9UoYema",ubuffalo
430,"Reminder to all new spring students: the deadline to submit your health insurance waiver is Wednesday, March 16 🚨 Submit your waiver before this date to avoid being charged the insurance fee. https://t.co/uktv0WAUTv #UBuffalo",ubuffalo
431,"“Life is like a box of chocolates, you never know what you're going to get.” — Forrest Gump. 

Yet another Monday. You may like what happens today...or not. But, you're never going to know until you live it. Get out there and make the most of it!  🙌 #UBuffalo #MondayMotivation https://t.co/wRAh00lrQq",ubuffalo mondaymotivation
432,"Congrats to the 3 winners of the #UBuffalo Office of Academic Integrity Meme Contest! 
🥇 Oliver C. – Trade Offer Meme
🥈 Aditya S. – ""I don't have the luxury of friends"" Meme
🥉 Jasmine K. – Surprised Cat Meme

Which is your favorite? https://t.co/o6lI7Vm7VE",ubuffalo
433,"#UBuffalo Wellness Coaches can help you identify goals related to academic, physical, or spiritual wellness. 

Meet with a Wellness Coach and start taking steps to reach your goals. Set up an appointment in Navigate via MyUB 👇https://t.co/CgHkOVIeLS",ubuffalo
434,Anyone know what a Zip is? Asking for a friend. #UBuffalo #UBhornsUP https://t.co/Ma33p4ocwM,ubuffalo ubhornsup
435,"Drop in to #UBuffalo's weekly Meditation Group, and take care of that wonderful brain of yours! 🧘🏻‍♂️ No meditation experience? No problem. All experience levels are welcome! 

This group meets every Friday (that's TODAY) at 3pm in the SU and via Zoom. https://t.co/IGYRF46Ehy https://t.co/1cj4k517cL",ubuffalo
436,Legend has it that their first words were #UBhornsUP. They were born for greatness. #UBTrueBlue #UBuffalo https://t.co/x1HhglXdsb,ubhornsup ubtrueblue ubuffalo
437,"Daylight saving begins this Sunday – we all lose an hour of sleep tonight! 😫 Get some extra rest before Monday, so you aren't sleepy and grumpy in class 😴 #UBuffalo https://t.co/Q5uJH9tx1j",ubuffalo
438,New spring students: Only 2 more days to submit your health insurance waiver! #UBuffalo https://t.co/lPDKNC3CD3,ubuffalo
439,"Let's level up! Level Up’s console gaming lounge and esports arena are officially open, today for students to preview the space and test the games. Come with your friends and play some games! 🎮 https://t.co/bSdlF7EeW4 #UBuffalo https://t.co/0zCVorSh3P",ubuffalo
440,"🎉Congratulations PhD Candidate @BowlusPeck! Emily won first place at UB's 3 Minute Thesis Competition. Emily will move on to compete in the Northeastern Association of Graduate Schools 3MT Competition in April! Good luck, Emily! #UBuffalo  @3MT_official",ubuffalo
441,The Department of History Scholarship Competition is open! We have a wide variety of scholarships and prizes to award this Spring. Check out the qualifications and submit your applications by April 15! https://t.co/1EXqbbySO0 #UBuffalo,ubuffalo
442,Thinking about taking a 🌞Summer🌞 course? Check out the courses offered by the Department of History! #ubuffalo https://t.co/G0R3NkWmvi,ubuffalo
443,#UBuffalo is ready! 🤘🏽 https://t.co/I8NuUqy02T,ubuffalo
444,#UBuffalo is ready and have our 🤘🏼 #UBhornsUP! https://t.co/aCnfGGzXET,ubuffalo ubhornsup
445,Let's do this #UBuffalo! https://t.co/RculVUWdPp,ubuffalo
446,Daylight savings starts today! ⏰ Make sure to adjust your clocks and look forward to the longer days and stunning sunsets we're going to have at #UBuffalo! 😎 https://t.co/RgdqoWxnkM,ubuffalo
447,Statement from #UBuffalo President Satish K. Tripathi regarding Ukraine. Full statement can be found here: https://t.co/YrRxvDGiwE https://t.co/IG2oF5kndY,#UBuffalo
448,"Don't miss the last @UBMBB home game of the season 21-22, tomorrow at 7pm! 💙🤘 #UBHornsUp #UBuffalo https://t.co/OlFTWLTMVH https://t.co/qgH8ERvrmF",#UBuffalo
449,"Today we're proud to highlight Jonathan Beane, JD/MBA '98, in celebration of #BlackHistoryMonth

Beane is the @NFL's senior vice president and chief diversity and inclusion officer. Read his success story: https://t.co/3YyDHWxXrg

#UBMBA #UBuffalo #UBTrueBlue #NFL https://t.co/BYvet3miBa",#UBuffalo
450,"Nerd out this Saturday! This week at #UBGSE's Black History Nerds Saturday School: ""The Hill Project: A Black Studi… https://t.co/N2VJoNLDBq",#UBuffalo
451,"Have you joined #UBGSE for Black History Nerds Saturday School yet? This week, attend The Hill Project: A Black Stu… https://t.co/mlWYuWT7U3",#UBuffalo
452,UB Alert: #UBuffalo following regular academic/operations schedule for 2/24 and 2/25 and monitoring weather. Update… https://t.co/8yNhsIEldW,#UBuffalo
453,"CBE mentored PhD students Chih-Han Liu, Bita Nasiri, and Mahasweta Bhattacharya are Finalists for UB's 3 Minute The… https://t.co/y8pJy4JNxs",#UBuffalo
454,Game on! 🎮 Here's your sneak peek 👀 into the NEW LevelUp computing space in Lockwood Library at #UBuffalo! This spa… https://t.co/GXR36G4lYa,#UBuffalo
455,"Take charge of your well-being! Subscribe to the ""What the Health"" newsletter and get info on all the health and we… https://t.co/HpaO9p34Ew",#UBuffalo
456,"In addition to this month’s featured events, today we’re proud to highlight Taz Guishard, EMBA ’16, in celebration… https://t.co/NjrIPiqtZb",#UBuffalo
457,#ThrowbackThursday: Exactly one month ago 57 original research projects from aspiring physician-scientists at… https://t.co/LmuzdVMY9g,#UBuffalo
458,"Earth to student leaders 👩🏽‍🚀  Develop your leadership skills 'til they're out of this world! 

Take off and join L… https://t.co/UiQXc3IRBp",#UBuffalo
459,It’s a crucial part of our @Jacobs_Med_UB mission to seek novel solutions to the most critical #PublicHealth issues… https://t.co/wputYMWbXh,#UBuffalo
460,Still on the fence about booster shots? 💉 A #UBuffalo infectious disease expert helps address some of the questions… https://t.co/9V1yU3oS9z,#UBuffalo
461,"As the #COVID19 pandemic maintains its grip on the world, #UBuffalo physicians at @Jacobs_Med_UB continue to step u… https://t.co/ML92DuZArP",#UBuffalo
462,"It’s Touring Thursday!! Stop by One World Cafe at 2pm for a tour of the new space! 
@ub_marketing
@ub_sa
#UBuffalo… https://t.co/wzocfHUBYl",#UBuffalo
463,"It’s Touring Thursday!! Stop by One World Cafe at 2pm for a tour of the new space! 
@UBStudentExp @ubalumni… https://t.co/qNn0PDiXcV",#UBuffalo
464,"UB is leading the way again, and this time it is to help crack the glass ceiling in STEM fields. Glad I could share… https://t.co/pqLDcwilgN",#UBuffalo
465,"The submission DEADLINE for Baird Point Film Festival is this Sunday, Feb 27! 🎥 

Wrap up your film and submit it,… https://t.co/FfpMjlXYH6",#UBuffalo
466,"Join us on Feb 25th at 3 PM for a New Book Celebration in honor of Prof. Jenifer Barclay and her book, The Mark of… https://t.co/Y1bAT08cY1",#UBuffalo
467,"The #UBPSS combined general membership and senate meeting with featured guest RON RACCUIA, Executive Vice President… https://t.co/xRJczvwLHQ",#UBuffalo
468,"Do you have the next big idea? Sign up for the 2022 Panasci competition to pitch your product, service or scalable… https://t.co/HWWHL7bhRv",#UBuffalo
469,"This #UBuffalo grad is paving the way, and breaking barriers for women and girls in engineering. Find out how.… https://t.co/GbGSQ91Ea9",#UBuffalo
470,#UBuffalo SON community: We invite you to wear your #UBTrueBlue every Friday with the rest of the #UBuffalo campus… https://t.co/7ZDYsiHkcS,#UBuffalo
471,"Hi everyone! My name is Adetola Salau and I am a social innovator and educator. I'm enrolled in the curriculum, ins… https://t.co/fyTFCVLBB6",#UBuffalo
472,"WHAT A GAME TONIGHT WAS!! 

HUGE S/O @UBwomenshoops for keeping us on our toes all game and still making it out on… https://t.co/jUsM9pyC9i",#UBuffalo
473,"Typically held on the last Saturday before Spring final exams, #UBuffalo Oozefest offers pre-exam stress relief for… https://t.co/DxsTGdmI2b",#UBuffalo
474,"The 5th annual Teaching Black History Conference will be July 22-24, and this year's theme is Mother Africa. Submit… https://t.co/lNpWBMF82r",#UBuffalo
475,"In 3MT contest, PhD candidates to pitch their thesis in 3 minutes or less https://t.co/wg3jmpmWOD Can’t wait to hea… https://t.co/7iAuIdfzra",#UBuffalo
476,"Tomorrow is a GSPHA #BlackHistoryMonth “voices for diversity” talk by Aza Allsop, MD, PhD! @DR_tr3, a @YaleMed psyc… https://t.co/3pQl7arFnG",#UBuffalo
477,"Are you a working professional looking for help with the graduate application process? ✋ Attend #UBGSE's ""Just Expl… https://t.co/ItH1ucfBBC",#UBuffalo
478,Spot the blue and white tricycle TOMORROW in the SU from 11a – 1p to get your tasty treat and get a taste of living… https://t.co/hq1PhI4LUW,#UBuffalo
479,"Let's BLUE it #UBuffalo! 🤘💙 Help us blue out Alumni Arena next Tuesday, 3/1! 🏀 Free t-shirts, prizes and FUN for ev… https://t.co/IDCn2V5UCH",#UBuffalo
480,A safe space to learn about sexual and reproductive health: https://t.co/w4mKOV6BX7 @ubuntu4change @UTEP… https://t.co/gnk8XdQHwl,#UBuffalo
481,"Choose Campus Living! Submit your deposit &amp; application to secure your place in #UBuffalo on-campus housing:
🔹 Retu… https://t.co/L0nUQ7go0L",#UBuffalo
482,"Attention #UBuffalo alumni! Join us for our Spring 2022 Buffalo Chat Series, which will include comments from our n… https://t.co/CnPztaISOn",#UBuffalo
483,#UBuffalo doctoral student Adetola Salau will take over #UBGSE's Instagram stories tomorrow! She is not only a stud… https://t.co/RZpQiptyT5,#UBuffalo
484,"Did you see the latest #UBuffalo CTSI Translational Spotlight newsletter? It featured: 

🔹Trial Innovation Network:… https://t.co/Z4sCskwaM2",#UBuffalo
485,"Have an idea worth $52,000? Compete in this year’s #UBuffalo Panasci Technology Entrepreneurship Competition! Any s… https://t.co/jScvmyliAZ",#UBuffalo
486,"Questions about the CRNA admissions process? Join us March 10 to learn about admission requirements, the applicatio… https://t.co/Z2EuvMpXUc",#UBuffalo
487,UBThisSummer registration opens March 1. Undergraduate and graduate courses are available to help you get ahead or… https://t.co/nfnIPkGezX,#UBuffalo
488,"Join us on Feb 25th at 3 PM for a New Book Celebration in honor of Prof. Jenifer Barclay and her book, The Mark of… https://t.co/uNw7JUstXs",#UBuffalo
489,"Happy Birthday Dr. Shubert! If you see Dr. Shubert around or want to send him an email, he’s celebrating a big birt… https://t.co/TRPEzw9mC1",#UBuffalo
490,"In 3MT contest, PhD candidates to pitch their thesis in 3 minutes or less https://t.co/KU3Ut7ohu0 Join us next Frid… https://t.co/ByhAnIUtA0",#UBuffalo
491,"You spoke—we listened! #UBMgt apparel is now on sale for a limited time. 

Use this link to ship to your home:… https://t.co/00PxRdj2FD",#UBuffalo
492,"Bruce Korf, MD, PhD, #GenomicMedicine expert at the University of Alabama at Birmingham (@UABNews), speaks today at… https://t.co/oh9XGjkpLz",#UBuffalo
493,"Wow #UBuffalo it’s already Wednesday, which means 1 thing: ITS A @UBwomenshoops GAMEDAY‼️

Grab your closest friend… https://t.co/1kXAxik9O0",#UBuffalo
494,"Join us Friday, February 25 for our virtual seminar, during which Dr. Bruno Badia (Rhodes College) will discuss how… https://t.co/3UkW4rReXY",#UBuffalo
495,"Hear candid reviews from five current UB MBA students on a variety of topics, from program curriculum to the MBA co… https://t.co/rElFrGymKt",#UBuffalo
496,UPSET WATCH: NCAA Basketball (I) - #251 ranked Miami (OH) is leading #125 ranked Buffalo by a score of 81 to 80 at… https://t.co/5zw8VfPeSl,#UBuffalo
497,"CBB bet at 7:00 PM
@UBMensHoops 🆚 @MiamiOH_Bball

Miami Ohio +6
Bet Grade: B-

📈 Our Sharpest CBB Spread Bets have… https://t.co/Vo1djpcQxO",#UBuffalo
498,"Dr. Carla Jungquist, associate professor, will present ""Assessment for Deterioration of the Hospitalized Patient"" o… https://t.co/d4WQDM3LrP",#UBuffalo
499,We interrupt this rainy day to remind you of how pretty #UBuffalo looks after it rains! 🌈 ☀️ As you think ahead to… https://t.co/IvJpwJomkQ,#UBuffalo
500,"In the mood for shopping this weekend? 🛍 Join UB Trippin' to the Fashion Outlets of Niagara Falls this Saturday, 2/… https://t.co/VQuiFJrAsm",#UBuffalo
501,"Fighting … to resolve conflict? 🥊 A new book by #UBGSE alumna Brittany Patterson, PhD ’15, outlines the essential s… https://t.co/0jUrYxwz3b",#UBuffalo
502,Check out our take on what happens when Buffalo takes on Miami (OH).  So click it!  Follow for more of our picks in… https://t.co/bQ1YX1952t,#UBuffalo
503,Check out our preview of the Buffalo-Miami (OH) game happening today. Like and follow because you love how detailed… https://t.co/wvk9dDl3j9,#UBuffalo
504,We're #UBTrueBlue! 💙 Visit the stories section to be inspired by a tenacious group of first-generation management s… https://t.co/g9cUcOVpPF,#UBuffalo
505,"Happy #Twosday 2 you, #UBuffalo! Did you know:
🔹 Every date until the end of the month is a palindrome (2-20-22 to… https://t.co/OTah85q7q2",#UBuffalo
506,Happy 2/22/2022! Take some time on this Twosday to watch Episode 2 of True Blue! 💙🤘 #UBTrueBlue #UBuffalo… https://t.co/TnQ0h6sDWr,#UBuffalo
507,"Welcome @StrayosAI Spring 2022 #Interns! We're pleased to introduce Ashwin Phadke...

Working for an MS in CS from… https://t.co/nYFL5nrm6g",#UBuffalo
508,"#UBuffalo students take note! 📝 Navigate will be unavailable tonight from 9 - 10 p.m. for planned maintenance. 

Na… https://t.co/divkzC3Pzu",#UBuffalo
509,"Annelise Gunn-Taylor, #UBuffalo Accelerated Baccalaureate Degree in Nursing student, recognizes the nursing faculty… https://t.co/kG2dYqzuqo",#UBuffalo
510,Are you proud to be a part of our innovative @Jacobs_Med_UB community here at #UBuffalo? Show your #UBTrueBlue spir… https://t.co/hYyAZAgVik,#UBuffalo
511,"Tell us what you think. Your health matters. 

Check your email for an invitation to the National College Health As… https://t.co/RtE1iPb2mc",#UBuffalo
512,"Cameras, Laptops, Tech Tools &amp; More! 
#UBuffalo Libraries have a wide variety of media and technology equipment ava… https://t.co/FUlMhjsa9C",#UBuffalo
513,"Buffalo vs Miami Ohio College Basketball Prediction, Odds and Betting Tips 2/22/2022 https://t.co/nkOmpqllYI via… https://t.co/LZVB0TJ5ue",#UBuffalo
514,"Today Margarida Barroso, PhD, a #MolecularPhysiology &amp; #CellularPhysiology expert from @AlbanyMed, will present dat… https://t.co/RokESirxRH",#UBuffalo
515,"Let us help you get As in;
#statistics 
#Nursing
#Biology 
#chemistry 
#Law 
#psychology
#Assignments
#math… https://t.co/4R4kCyebx1",#UBuffalo
516,"Congrats to #UBuffalo alum Maria Lehman, BS ’81. She is president-elect of the American Society of Civil Engineers… https://t.co/4qWEPE7AYw",#UBuffalo
517,"Miami-OH vs Buffalo 2/22/22 College Basketball Picks, Predictions, Odds » Sports Chat Place https://t.co/pAky60eKJA… https://t.co/EwsL17BDX5",#UBuffalo
518,"“Learn how to sell.” Watch the full video of #UBuffalo grad Chris Miano from @thememoryfox for more career advice,… https://t.co/3gAlU37aii",#UBuffalo
519,"Current PMBA students will answer your questions about the PMBA experience, program schedule, courses, benefits and… https://t.co/7dQ4KbfSPp",#UBuffalo
520,"This Friday! #UBuffalo's @UBGSE and @UBSchoolofLaw will host a virtual panel: ""Critical Race Theory: Clarifying the… https://t.co/jZvrHxqZsu",#UBuffalo
521,Join us to learn more about marketing and entrepreneurship from this week's guest speaker Julia Jornsay-Silverberg.… https://t.co/trsWFrhWEZ,#UBuffalo
522,"This Friday! #UBuffalo's @UBGSE and @UBSchoolofLaw will host a virtual panel: ""Critical Race Theory: Clarifying the… https://t.co/0iPMWHRaGN",#UBuffalo
523,"Thank you @SenSchumer for your leadership, and your support of WNY families. #UBuffalo shares your commitment to en… https://t.co/cQ0BcuKaF5",#UBuffalo
524,"Bring your laptop, grab a friend and join our career experts in creating or updating your resume and online profile… https://t.co/1ehrqnm9Ki",#UBuffalo
525,"@UBengineering students stepped up to the annual ""Egg Drop"" challenge today to help kick-off Engineering Week. That… https://t.co/joeGeMWn2y",#UBuffalo
526,"As we continue through February, remember #UBuffalo GSEU is coming to your department with our Fireside Chat series… https://t.co/zsTG3Z6miR",#UBuffalo
527,"@VWidgeon from @UB_History discusses the Long Civil Rights Movement, utopianism, and more in our newest podcast. Li… https://t.co/PihqSeYg4f",#UBuffalo
528,"“This division, this hatred, this ugliness has to end. Words matter.” — Joe Biden

A powerful statement issued duri… https://t.co/8PRsRvJhfO",#UBuffalo
529,"Happy Presidents Day! 🇺🇸

It was a pleasure hosting President Joe Biden as part of UB’s Distinguished Speakers Seri… https://t.co/iuOTOjlVnJ",#UBuffalo
530,"In honor of President’s Day, we invite you to join us and Eat Like a President 🇺🇸

Check out dinner at C3, Govs or… https://t.co/RT7wpsMirD",#UBuffalo
531,"#ForeverChemicals, minus the forever part! ❌ Learn how #UBuffalo researchers are working to decrease the lifespans… https://t.co/cwMBLHF0NA",#UBuffalo
532,"Music ties people together from all over the world, yet the foundations of its creation are often neglected in the… https://t.co/1Ny8nLkoka",#UBuffalo
533,"It's imperative that nurses are socially and culturally conscious, empathetic, and person-centered. Check out these… https://t.co/WG6QqrwPEe",#UBuffalo
534,"To keep our campus community safe, mandatory weekly surveillance testing will continue for those who:
🔹 Are on camp… https://t.co/eVZI12FyB4",#UBuffalo
535,#Eweek2022 starts today at #UBuffalo! ⚙️ Drop by the Student Union for fun and interactive activities all day like… https://t.co/6Ki6gJI5eV,#UBuffalo
536,"Join us on Feb 25th at 3 PM for a New Book Celebration in honor of Prof. Jenifer Barclay and her book, The Mark of… https://t.co/7HkYiswsbL",#UBuffalo
537,"If you want to be seen as a leader, work on your public speaking skills — according to new #UBMgt research.… https://t.co/MX7b5utLQk",#UBuffalo
538,"The 5th annual Teaching Black History Conference will be July 22-24, and this year's theme is Mother Africa. 

Subm… https://t.co/OJ3hrZuaoh",#UBuffalo
539,"School is in session! This week at #UBGSE's Black History Nerds Saturday School: ""The Hill Project: A Black Studies… https://t.co/KpGz54ZAva",#UBuffalo
540,"Join #UBGSE for Black History Nerds Saturday School! On 2/26, log in to learn about The Hill Project: A Black Studi… https://t.co/P7kye82Gbj",#UBuffalo
541,"Learn to budget, save, invest, and more with a group of supportive peers &amp; mentors, in a non-judgemental space.

Co… https://t.co/xQGZzEAWut",#UBuffalo
542,"Thank you, @NeurologyToday, for giving me the opportunity to speak about #PayGaps and #GenderInequity in #neurology… https://t.co/E4Gz6jFFR0",#UBuffalo
543,"After an @AANMember study documented the pay gap between male &amp; female neurologists, @NeurologyToday talked to neur… https://t.co/lo17WR7uk9",#UBuffalo
544,"#UBuffalo’s CRT panel discussion, hosted by @UBGSE and @UBSchoolofLaw, will take place on Feb. 25. @GorlewskiJulie… https://t.co/sP8mOTVhRA",#UBuffalo
545,"Behind the Front, an exhibition on advocacy for #womeninsports by @BuffaloArchPlan alum @_thedailysass (an architec… https://t.co/fK3ixqkEl2",#UBuffalo
546,"Some say what she does to opponents is un-Fair.

We would put @DyaishaFair resume up against anyone in the country. One thing missing…MAC Player of the Year 🤔🤘🏻

#UBhornsUP https://t.co/TeC9FHjPVW",#UBhornsUP
547,"Davidson TE transfer Jackson Sherrard has received an offer from Buffalo!

#UBhornsUP https://t.co/MPrIhaiAF2",#UBhornsUP
