,Tweet,Hashtag
46,"It’s that time! Time for yet another round of #ConferencePearls❗️
Thanks Dr. Hanauer @NMH_SHanauerMD for the wisdom! 
🍊 per STRIDE II, for non-invasive testing, look f💩 calpro goal &lt; 150 ug/g &amp; CRP &lt; 5mg/L
(20% of population will 🚫 elevate CRP for any reason) https://t.co/xX1hxgueZR",conferencepearls
47,"🍊when it comes to EIM, figure out if the disease or the drug is causing it! 
🍊if it’s the disease, then pause to consider if a class switch or dose escalation will have mechanistic benefit! 
@navpreetRGosain @mtahirMD @ErinKLyMD @GI_Zo_MD @Naren_nallapeta @GinaSparacino",
48,@muddasir_ayazMD @SultanMahmoodMD @MdMahl @APrabhuMD @mayyismail @TomMalikowskiMD,
49,UPSET WATCH: NCAA Basketball (I) - #251 ranked Miami (OH) is leading #125 ranked Buffalo by a score of 81 to 80 at Millett Hall with 2:23 to go.  #UpsetAlert #NCAAM #CBB #Redhawks #UBuffalo,upsetalert ncaam cbb redhawks ubuffalo
50,Successfully defended my PhD with @UBBiology @UBuffalo @UBCAS! Onwards to study axonal regeneration with Dr. Zhigang He at @FMKirbyNeuro @BostonChildrens @BCHPostDoc (but first... i sleep...) https://t.co/heCdjZpabd,
51,"“The Greater Cape Floristic Region is a really fascinating place — it has extremely high plant diversity, and there’s been dramatic environmental change over the last 50 years, due to both climate and land use change."" — @AdamWilsonLab, #UBuffalo prof. https://t.co/gx02VqvwjU https://t.co/FUgnWod0qn",ubuffalo
52,New study: “Strong communication skills reliably predict leadership emergence in teams” BUT “Just because people are outgoing and talkative doesn’t mean they communicate effectively and inspire others to view them as leaders.” https://t.co/RZ0hwobgDa @UBuffalo @UBSchoolofMGT,
53,"Join us Friday, February 25 for our virtual seminar, during which Dr. Bruno Badia (Rhodes College) will discuss how a firm's information impacts its decision to innovate!

More info and Zoom link: https://t.co/UNmnYE4T9G

#UBuffalo @UBCAS https://t.co/LBUixvlsDg",ubuffalo
54,"Wow #UBuffalo it’s already Wednesday, which means 1 thing: ITS A @UBwomenshoops GAMEDAY‼️

Grab your closest friends, some wings (which are free!) and let’s catch this W!💙🤘

@UBAthletics https://t.co/3aaS5SCNcY",ubuffalo
55,"Happy Birthday Dr. Shubert! If you see Dr. Shubert around or want to send him an email, he’s celebrating a big birthday today! #happybirthday #ubuffalo #celebrate https://t.co/OcMpErE8Ku",happybirthday ubuffalo celebrate
56,"Join us on Feb 25th at 3 PM for a New Book Celebration in honor of Prof. Jenifer Barclay and her book, The Mark of Slavery: Disability, Race, and Gender in Antebellum America!
Prof. Barclay will be joined by Dr. Kim Nielsen to discuss her book. https://t.co/hWRgwnickl #UBuffalo https://t.co/rH7Jzw1ajm",ubuffalo
57,"Is Black history white-washed or censored? We hear from @UBuffalo's @DrLaGarrettKing and a high school student.

LISTEN LIVE at @kcur 📻89.3 FM +💻&amp;📱: https://t.co/WqiUHxXXX9",
58,"It's GAMEDAY!!! Come out and support Bulls as they look to clinch a spot in the MAC Tournament!

🆚 @OhioWBasketball
🕰 7:00 PM
📍 Alumni Arena
💻 https://t.co/jJ9SL7XVVE
📻 ESPN 1520AM
📊 https://t.co/iIll9xwrgc
📝 https://t.co/j0FMgSg6uc
🎟 https://t.co/kJaPdnPtxF 

#UBhornsUP https://t.co/isnBwFqJeJ",ubhornsup
59,"There's still time! Register for today's episode of the @DiscoverEorg #PersistSeries featuring Julianna Gesun of @UofNH with Q&amp;A panelists Dr. Allison Godwin of @LifeAtPurdue, Dr. Matilde Sánchez-Peña of @UBuffalo, and Dr. Stephany Santos of @UConn.

https://t.co/bz3vBoRwax https://t.co/cGyr9eIb6X",persistseries
60,@ChamarLatanja @CprepHarlem @_HamptonU @sunyoswego @BowieState @TuskegeeUniv @ualbany @BinghamtonSOM @UBuffalo @XULA1925 @Morehouse @RITtigers Thank you for the great recommendation! We are glad that you and your daughter enjoy being a part of the Hawk family.,
61,"@UMESNews @ChamarLatanja @CprepHarlem @_HamptonU @sunyoswego @TuskegeeUniv @ualbany @BinghamtonSOM @UBuffalo @XULA1925 @Morehouse @RITtigers This is amazing! Congrats Dante, we’re glad you’ve considered Bowie State. We’d be happy to welcome you to #BulldogNation. 🎓",bulldognation
62,"Behind the Front, an exhibition on advocacy for #womeninsports by @BuffaloArchPlan alum @_thedailysass (an architectural designer AND pro-goalie) is on view at CEPA Gallery until Feb 26- check it out! https://t.co/tcIYt3IBkW #UBuffalo @UBGenderIn #genderequity @IfThenSheCan",womeninsports ubuffalo genderequity
